Player,Pos,Age,Tm,Team Wins,Overall Seed,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jaylen Nowell,SG,24,MEM,20,24,9,1,17.3,2.4,6.1,0.4,0.4,2.6,0.174,2,3.6,0.563,0.436,0.3,0.3,1,0.3,1.2,1.6,1.8,0.3,0,0.6,1.4,5.7,156,6.6,0.453,0.418,0.055,2,8,4.9,15.4,0.9,0,8.2,16.9,-0.1,0.1,0,-0.008,-5.9,-1.4,-7.3,-0.2
Scotty Pippen Jr.,PG,23,MEM,20,24,8,4,22.6,3.5,7.4,0.475,1.6,2.9,0.565,1.9,4.5,0.417,0.585,1.9,2.6,0.714,1,2.4,3.4,4.5,1,0.5,1.9,2.6,10.5,181,16.1,0.615,0.39,0.356,4.7,12,8.2,30.5,2.1,2,18,19.8,0.3,0.2,0.5,0.129,0.9,1.9,2.7,0.2
Derrick Rose,PG,35,MEM,20,24,21,7,17.3,3.3,7.3,0.455,0.7,1.9,0.375,2.6,5.4,0.482,0.503,1.1,1.3,0.889,0.3,1.7,2,3.4,0.4,0.1,1.2,1,8.5,364,13.7,0.54,0.26,0.175,2,10.9,6.3,31.8,1.1,0.5,13.1,22.6,0.2,0.3,0.5,0.06,-0.9,-1.1,-2,0
Marcus Smart,PG,29,MEM,20,24,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,605,11.7,0.552,0.565,0.236,1.1,8.8,4.8,22.3,3.3,0.8,19.2,23.1,-0.6,0.8,0.2,0.017,-3.4,1,-2.4,-0.1
Lamar Stevens,PF,26,MEM,20,24,3,0,25,5,9.3,0.536,0.7,1,0.667,4.3,8.3,0.52,0.571,1.7,3,0.556,0.7,6,6.7,0.7,0.3,1.3,1.7,1.7,12.3,75,13.4,0.579,0.107,0.321,2.8,27.3,14.7,4.4,0.6,4.9,13.5,21.2,-0.1,0.1,0.1,0.036,-3.7,-0.1,-3.8,0
Xavier Tillman Sr.,C,25,MEM,20,24,34,13,20.6,2.6,6.3,0.408,0.4,1.6,0.226,2.2,4.7,0.469,0.437,0.5,1.3,0.419,1.6,3,4.6,1.7,1.2,1,0.9,1.8,6,700,11.7,0.44,0.249,0.202,8.5,16.4,12.3,11.9,2.9,4.6,11.1,16.1,-0.6,1.2,0.7,0.045,-3.9,2.2,-1.6,0.1
Yuta Watanabe,SF,29,MEM,20,24,2,0,18,2.5,7,0.357,0.5,4,0.125,2,3,0.667,0.393,0,0,,0,1.5,1.5,1,1,0,0.5,0.5,5.5,36,5.2,0.393,0.571,0,0,9.5,4.6,8.3,2.7,0,6.7,18,-0.1,0,0,-0.062,-6.3,0.9,-5.4,0
Vince Williams Jr.,SG,23,MEM,20,24,44,25,26.6,3.1,6.9,0.444,1.5,4.1,0.365,1.6,2.8,0.561,0.553,2,2.5,0.815,1.2,4.4,5.6,2.9,0.9,0.6,1.4,2.5,9.6,1171,13.2,0.603,0.595,0.355,4.8,19,11.6,15.8,1.7,2.1,15,15.2,1.1,1.6,2.7,0.111,-1.5,1.2,-0.4,0.5
Ziaire Williams,SF,22,MEM,20,24,46,10,19.3,2.8,7.1,0.401,1.2,3.6,0.321,1.7,3.5,0.481,0.482,1.2,1.5,0.821,0.7,2.7,3.4,1.5,0.7,0.2,1.3,1.7,8,886,9.7,0.519,0.505,0.205,3.6,16.1,9.6,12,1.7,0.9,14.2,20.2,-0.8,1,0.3,0.014,-3.9,-0.3,-4.1,-0.5
Bam Adebayo,C,26,MIA,30,16,45,45,34.6,7.6,15,0.51,0,0.2,0.091,7.6,14.8,0.517,0.51,4.9,6.3,0.784,2.3,8.4,10.6,4.2,1.1,1,2.4,2.5,20.2,1555,19.8,0.569,0.016,0.418,7.4,27.8,17.4,20,1.5,2.7,12,25.8,1.7,2.6,4.3,0.134,0.6,1.6,2.2,1.6
Thomas Bryant,C,26,MIA,30,16,25,3,10.4,1.8,3.1,0.571,0,0.2,0,1.8,2.9,0.603,0.571,0.7,0.9,0.818,1,2.1,3.1,0.6,0.2,0.2,0.6,1,4.2,259,15.1,0.611,0.052,0.286,10.7,23.1,16.8,8.8,1.1,1.9,14.8,17.4,0.3,0.4,0.7,0.121,-2.3,-0.4,-2.7,0
Jimmy Butler,PF,34,MIA,30,16,37,37,33.9,6.7,13.4,0.5,1,2.3,0.44,5.7,11.1,0.512,0.537,7,8.1,0.869,2,3.4,5.5,4.6,1.3,0.3,1.7,1.1,21.4,1254,22.4,0.631,0.169,0.601,6.6,11.7,9.1,21.6,1.9,0.9,9.1,24.3,4,1.5,5.6,0.213,4.3,0.4,4.7,2.1
Jamal Cain,PF,24,MIA,30,16,16,1,14.1,1.8,4.3,0.42,0.5,1.6,0.308,1.3,2.7,0.488,0.478,1.1,1.4,0.783,0.8,1.2,2,0.3,0.6,0.3,0.3,1.1,5.3,225,11.2,0.531,0.377,0.333,6.4,9.7,8,2.6,2.2,1.7,5.9,16.5,0.1,0.3,0.4,0.083,-2.9,0.2,-2.7,0
R.J. Hampton,PG,22,MIA,30,16,8,2,9.5,0.5,1.8,0.286,0.1,1,0.125,0.4,0.8,0.5,0.321,0.1,0.3,0.5,0.3,0.5,0.8,1,0,0,0.4,1,1.3,76,0.8,0.336,0.571,0.143,2.9,6.1,4.5,13.6,0,0,16.8,10.4,-0.1,0,-0.1,-0.041,-8.2,-1.4,-9.6,-0.1
Tyler Herro,SG,24,MIA,30,16,35,35,33.7,7.9,18.1,0.437,3.3,8.2,0.396,4.7,9.9,0.471,0.527,1.9,2.3,0.835,0.5,4.8,5.3,4.4,0.8,0.1,2.2,1.4,21,1179,15.3,0.549,0.454,0.125,1.7,16.3,8.9,22.3,1.2,0.2,10.2,27.9,0,1.3,1.3,0.054,1.3,-0.8,0.5,0.7
Haywood Highsmith,PF,27,MIA,30,16,40,24,21.2,2.1,5.1,0.421,1.1,3,0.367,1,2.1,0.5,0.53,0.5,0.7,0.808,0.8,2,2.8,1.1,1,0.5,0.6,2,5.9,847,9.6,0.551,0.594,0.129,4.3,10.9,7.5,6.8,2.3,2.3,10.5,12.4,0.2,1.2,1.4,0.081,-2.9,1.4,-1.5,0.1
Jaime Jaquez Jr.,SF,22,MIA,30,16,49,16,29.5,5,10.1,0.492,0.9,2.9,0.321,4.1,7.3,0.559,0.537,2,2.4,0.815,1.2,2.7,3.9,2.6,1.1,0.2,1.7,2.4,12.9,1444,12.6,0.574,0.282,0.24,4.7,10.4,7.5,13.4,1.8,0.7,13.1,19.3,0.6,1.7,2.3,0.077,-2.5,0,-2.4,-0.2
Nikola Jović,PF,20,MIA,30,16,22,14,16.5,2.1,4.9,0.43,1.1,2.5,0.455,1,2.4,0.404,0.547,0.6,1.1,0.583,0.8,3.4,4.2,1.9,0.3,0.3,1,1.9,6,364,11.5,0.557,0.514,0.224,5.2,23.7,14.3,16.5,1,1.9,15.2,16.8,0.1,0.5,0.6,0.082,-2.1,1.3,-0.8,0.1
Kevin Love,PF,35,MIA,30,16,44,5,17.6,2.8,6.5,0.44,1.6,4.5,0.347,1.3,1.9,0.659,0.562,1.7,2.2,0.776,1,5.2,6.3,2.3,0.4,0.2,0.8,1.8,9,776,18.4,0.604,0.701,0.345,6.6,34,20,19.6,1,0.9,9.7,20.6,1.6,1.2,2.8,0.175,2.9,1.1,4,1.2
