Player,Pos,Age,Tm,Team Wins,Overall Seed,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Miles McBride,PG,23,NYK,33,9,42,3,12.4,2.1,5,0.433,1.1,2.8,0.407,1,2.1,0.467,0.548,0.5,0.6,0.8,0.2,0.7,0.9,1,0.6,0.1,0.4,1.2,5.9,522,13,0.566,0.567,0.12,2.1,6.2,4.2,11.6,2.3,0.5,6.8,19.2,0.7,0.6,1.2,0.114,-1,0.7,-0.3,0.2
Julius Randle,PF,29,NYK,33,9,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,1630,18.7,0.569,0.292,0.361,6.8,22.2,14.5,22.4,0.8,0.7,14.1,29.5,1.9,1.9,3.8,0.112,2,-0.3,1.7,1.5
Mitchell Robinson,C,25,NYK,33,9,21,21,29.2,2.8,4.7,0.592,0,0,,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5,10.3,0.7,1.5,1.3,1,1.9,6.2,613,16.1,0.567,0,0.388,20.3,18.9,19.6,3.2,2.6,4.1,15.5,9.4,0.9,1.1,2,0.156,-0.3,1,0.6,0.4
Jericho Sims,C,25,NYK,33,9,28,9,11,0.9,1.3,0.714,0,0,,0.9,1.3,0.714,0.714,0.2,0.4,0.6,0.9,1.6,2.5,0.3,0.1,0.4,0.3,0.9,2,309,10.3,0.711,0,0.286,9,16.6,12.8,3.7,0.5,3,16.9,6.5,0.4,0.3,0.7,0.116,-2.5,0.2,-2.3,0
Dmytro Skapintsev,C,25,NYK,33,9,2,0,1,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,-19.1,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0,-0.474,-16.3,-9.9,-26.2,0
Jacob Toppin,SF,23,NYK,33,9,5,0,6.6,1,1.8,0.556,0.2,0.8,0.25,0.8,1,0.8,0.611,0.4,0.4,1,0.6,0.6,1.2,0.4,0,0.2,0.2,0.6,2.6,33,15,0.658,0.444,0.222,10.1,10.1,10.1,8.5,0,2.8,9.2,14.1,0.1,0,0.1,0.162,0.8,-1.7,-0.9,0
Ousmane Dieng,PF,20,OKC,37,3,29,0,11.2,1.5,3.5,0.426,0.7,2.2,0.313,0.8,1.3,0.622,0.525,0.5,0.6,0.875,0.3,1.3,1.7,1.1,0.2,0.1,0.6,0.7,4.1,326,10.1,0.555,0.634,0.158,3.6,12.9,8.4,12.1,0.7,0.9,12.9,16.5,0.1,0.3,0.4,0.059,-1.8,-1.2,-2.9,-0.1
Luguentz Dort,SF,24,OKC,37,3,52,52,28.5,3.6,8.2,0.439,1.9,4.8,0.39,1.7,3.3,0.509,0.554,1.6,2,0.814,1.1,2.7,3.8,1.4,0.9,0.7,0.9,3,10.6,1481,11,0.59,0.592,0.241,4.6,10.3,7.6,6,1.5,2.3,9.5,15.2,1.2,1.6,2.9,0.093,-1.6,-0.2,-1.8,0.1
Josh Giddey,SG,21,OKC,37,3,53,53,24.9,4.6,10.4,0.447,1,3,0.325,3.7,7.4,0.496,0.494,1.2,1.5,0.831,1.4,4.8,6.1,4.5,0.6,0.5,2,1.2,11.5,1321,15,0.52,0.285,0.14,6.4,20.5,13.8,24.6,1.2,1.9,15.1,22.6,0.2,1.8,2,0.074,0.1,0.1,0.3,0.7
Shai Gilgeous-Alexander,PG,25,OKC,37,3,53,53,34.5,10.9,20.1,0.546,1.2,3.3,0.371,9.7,16.8,0.58,0.576,8,9.1,0.883,0.9,4.6,5.5,6.5,2.2,0.9,2.2,2.5,31.1,1831,30.5,0.647,0.165,0.452,3.1,14.4,9,31.3,3,2.4,8.2,33,8.2,3,11.2,0.294,7.3,2.7,10,5.5
Chet Holmgren,C,21,OKC,37,3,54,54,30.1,6.3,11.8,0.535,1.7,4.2,0.393,4.6,7.5,0.616,0.606,2.5,3.2,0.773,1.6,6,7.6,2.7,0.7,2.6,1.6,2.5,16.7,1624,20.6,0.635,0.361,0.271,6.1,21.5,14.1,12.5,1.1,8.2,11,21.4,3,2.9,5.9,0.175,2,2,4,2.4
Isaiah Joe,SG,24,OKC,37,3,50,0,18.6,2.9,6.3,0.465,2,4.6,0.427,0.9,1.6,0.573,0.623,0.7,0.8,0.846,0.4,1.9,2.3,1.1,0.6,0.3,0.6,1.2,8.5,929,13.7,0.64,0.739,0.124,2.5,11.2,7.1,7.9,1.6,1.3,8.3,16.9,1.3,1,2.3,0.117,1.4,-0.3,1.1,0.7
Keyontae Johnson,SF,23,OKC,37,3,7,0,8.1,0.6,1.7,0.333,0.1,0.3,0.5,0.4,1.4,0.3,0.375,0,0,,0.4,0.4,0.9,0.6,0,0,0.6,0.6,1.3,57,0.7,0.375,0.167,0,6.2,5.7,5.9,8.3,0,0,25,12.2,-0.1,0,-0.1,-0.077,-7.7,-3.1,-10.8,-0.1
Aleksej Pokusevski,PF,22,OKC,37,3,10,0,6,0.4,1.6,0.25,0.2,1.1,0.182,0.2,0.5,0.4,0.313,0.2,0.4,0.5,0.2,0.8,1,0.5,0.1,0.1,0.3,0.5,1.2,60,2.4,0.338,0.688,0.25,3.9,14.3,9.4,9.8,0.8,1.5,14.5,15,-0.1,0.1,-0.1,-0.067,-7.8,-2.3,-10.1,-0.1
Olivier Sarr,C,24,OKC,37,3,12,0,7.4,0.8,1.5,0.556,0.2,0.5,0.333,0.7,1,0.667,0.611,0.8,1.1,0.692,0.8,2,2.8,0.2,0,0.5,0.3,1.4,2.6,89,14.8,0.653,0.333,0.722,13.2,29,21.4,2.8,0,6.2,11.2,13.1,0.2,0.2,0.3,0.183,-2.8,-0.3,-3.1,0
Cason Wallace,SG,20,OKC,37,3,54,9,20.7,2.6,5.2,0.504,1.2,2.8,0.412,1.4,2.4,0.614,0.616,0.4,0.5,0.846,0.6,1.6,2.2,1.3,0.7,0.4,0.5,1.7,6.8,1120,11.3,0.63,0.546,0.093,3.2,8.3,5.9,8.1,1.6,1.9,7.9,12.3,1.4,1.2,2.6,0.11,-1,0.4,-0.7,0.4
Lindy Waters III,SG,26,OKC,37,3,23,0,7.3,1,2.3,0.442,0.9,2.1,0.438,0.1,0.2,0.5,0.644,0,0,,0,1,1,0.5,0,0.2,0.2,0.7,2.9,169,11,0.644,0.923,0,0.7,14,7.6,9,0.3,2.2,7.1,14.4,0.2,0.2,0.4,0.105,-0.2,-0.9,-1.1,0
Aaron Wiggins,SG,25,OKC,37,3,51,0,14.3,2.4,4.1,0.583,0.8,1.5,0.519,1.6,2.6,0.621,0.68,0.5,0.7,0.75,0.7,1.6,2.3,0.9,0.5,0.1,0.5,1.2,6.2,731,15,0.692,0.374,0.171,5.6,12.4,9.1,8.7,1.6,0.8,11,15.2,1.4,0.8,2.2,0.148,0.6,-0.2,0.4,0.4
Jalen Williams,PF,22,OKC,37,3,48,48,32,7.5,13.8,0.544,1.5,3.3,0.453,6,10.5,0.573,0.598,2.7,3.3,0.811,0.5,3.5,4.1,4.6,1,0.5,1.8,2.6,19.2,1538,18.5,0.629,0.24,0.24,2,11.8,7.1,20.9,1.5,1.3,10.4,23.1,3.1,1.7,4.8,0.151,1.8,0,1.8,1.5
Jaylin Williams,C,21,OKC,37,3,46,0,12.4,1.2,3.2,0.383,0.7,2.1,0.347,0.5,1.2,0.444,0.493,0.5,0.5,0.84,0.5,2.6,3.1,1.3,0.4,0.3,0.4,1.4,3.7,569,11.5,0.525,0.638,0.168,4.9,22.5,14.1,13.1,1.6,2.6,10.1,13.6,0.4,0.9,1.3,0.111,-1.5,1.6,0.2,0.3
Kenrich Williams,PF,29,OKC,37,3,43,1,14.9,1.7,3.8,0.457,0.8,2,0.395,1,1.8,0.526,0.561,0.1,0.2,0.3,0.8,2,2.8,1.3,0.6,0.1,0.4,1.4,4.3,642,11,0.555,0.524,0.061,6,14.6,10.5,10.7,1.9,0.9,8.7,12.5,0.6,0.8,1.4,0.105,-1.4,0.5,-0.9,0.2
Cole Anthony,PG,23,ORL,30,17,54,0,23,4.1,9.4,0.432,1.1,3.2,0.326,3,6.1,0.488,0.488,2.7,3.2,0.839,0.9,3.1,4,3,0.8,0.4,1.8,2.4,11.9,1241,14.3,0.549,0.345,0.343,4.4,16,10.2,19.9,1.7,1.7,14,23.6,0.5,1.8,2.3,0.088,-1,0.5,-0.5,0.5
Paolo Banchero,PF,21,ORL,30,17,55,55,35,8.2,17.8,0.462,1.5,4.2,0.365,6.7,13.5,0.492,0.505,5.1,7.2,0.702,1.1,5.7,6.9,5.3,1.1,0.5,3,2,23,1923,17.7,0.549,0.238,0.405,3.6,19.2,11.3,24.7,1.5,1.4,12.5,29.6,1,2.7,3.7,0.091,1.6,0.1,1.7,1.8
Goga Bitadze,C,24,ORL,30,17,46,31,18.2,2.4,3.9,0.619,0,0.2,0.2,2.4,3.7,0.643,0.624,1,1.5,0.662,2.1,3.4,5.5,1.5,0.6,1.4,0.7,2.1,5.9,836,18.2,0.643,0.055,0.392,13.3,22,17.6,11.5,1.6,7,13.5,12.7,1.7,1.6,3.3,0.192,-0.2,2.9,2.7,1
Anthony Black,PG,20,ORL,30,17,50,30,18.1,1.8,3.7,0.486,0.5,1.3,0.369,1.3,2.4,0.551,0.552,0.8,1.3,0.651,0.5,1.6,2.1,1.6,0.5,0.3,0.9,1.9,4.9,906,8.6,0.577,0.355,0.344,3.3,10.5,6.8,11.7,1.5,1.7,17.3,12.1,0.3,1.1,1.4,0.073,-3.8,0.9,-2.9,-0.2
Wendell Carter Jr.,C,24,ORL,30,17,29,23,26.2,4.2,7.8,0.535,1.1,2.8,0.402,3,5,0.611,0.608,1.9,2.7,0.727,1.8,4.7,6.5,1.6,0.4,0.5,1.2,2.4,11.4,759,15,0.637,0.363,0.341,7.7,21.1,14.3,8.9,0.8,1.7,11.6,16.7,1.2,1,2.2,0.142,0.2,0,0.3,0.4
Markelle Fultz,PG,25,ORL,30,17,21,15,24,4,8,0.491,0,0.3,0.143,3.9,7.7,0.506,0.494,0.4,0.8,0.563,1.4,2.1,3.5,3.7,1.3,0.3,1.1,1.7,8.4,504,13.6,0.5,0.041,0.095,6.6,10.5,8.5,22.6,2.7,1.3,12,17.1,0.2,0.7,0.9,0.09,-1.8,2.3,0.5,0.3
Gary Harris,SG,29,ORL,30,17,33,6,22.5,2.4,5.5,0.432,1.2,3.8,0.331,1.2,1.8,0.644,0.544,0.8,1,0.781,0.5,1.1,1.6,1.8,0.8,0.3,0.5,1.7,6.8,743,9.7,0.568,0.678,0.175,2.8,5.7,4.2,10.6,1.8,1.2,8.4,12.5,0.7,0.8,1.5,0.097,-2.1,0.9,-1.2,0.2
Kevon Harris,SG,26,ORL,30,17,2,0,3,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,0,0,,0,1,1,0.5,0,0,0.5,1.5,2,6,11,0.667,0,0,0,39,19.3,32.8,0,0,25,28.8,0,0,0,0.033,-15.6,-0.2,-15.8,0
Caleb Houstan,SF,21,ORL,30,17,40,8,14.9,1.5,3.9,0.39,1.3,3.6,0.371,0.2,0.3,0.636,0.562,0.4,0.6,0.773,0.6,1,1.6,0.6,0.3,0,0.4,1.1,4.8,596,8.2,0.58,0.929,0.143,4.2,8.1,6.1,5.4,0.8,0.2,7.9,12.9,0.5,0.5,1,0.081,-1.4,-0.9,-2.3,-0.1
Jett Howard,SF,20,ORL,30,17,13,0,3.8,0.6,1.7,0.364,0.4,1.3,0.294,0.2,0.4,0.6,0.477,0.2,0.3,0.5,0.1,0.3,0.4,0.2,0,0.1,0.2,0.2,1.8,49,7.7,0.484,0.773,0.182,2.3,9.6,5.9,9,0,1.9,7.8,22.7,0,0,0,-0.005,-1.4,-2.3,-3.7,0
Joe Ingles,SF,36,ORL,30,17,41,0,17.3,1.6,3.9,0.413,1.1,2.7,0.409,0.5,1.2,0.42,0.553,0.4,0.5,0.85,0.4,2,2.4,3.1,0.6,0.1,0.9,1.5,4.7,711,10.9,0.575,0.688,0.125,2.4,13.5,7.9,23.7,1.8,0.5,18,12.5,0.7,0.9,1.6,0.106,-1.3,1.3,0,0.4
Jonathan Isaac,PF,26,ORL,30,17,37,1,14.8,2.2,4.7,0.474,0.5,1.7,0.281,1.8,3,0.586,0.526,1.2,1.6,0.741,1.2,3,4.2,0.5,0.7,1.2,0.5,1.2,6.1,549,17.4,0.566,0.366,0.331,9.4,23.5,16.3,4.5,2.4,7.2,9.1,17.3,0.5,1.2,1.7,0.151,-0.3,2.3,2,0.6
Chuma Okeke,SF,25,ORL,30,17,33,8,11.5,1.2,3,0.384,0.7,2.2,0.319,0.5,0.8,0.556,0.5,0.1,0.2,0.4,0.5,1.6,2.2,0.5,0.2,0.2,0.4,0.6,3.1,381,8,0.499,0.727,0.051,5.4,16.6,10.9,6,0.9,1.7,10.6,12.8,-0.1,0.5,0.4,0.049,-2.3,-0.2,-2.6,-0.1
Trevelin Queen,SG,26,ORL,30,17,13,0,12.5,1.1,2.9,0.368,0.2,1.3,0.176,0.8,1.6,0.524,0.408,0.7,0.9,0.75,0.2,1.2,1.5,1.4,0.5,0.4,0.5,1.2,3.1,163,8.2,0.462,0.447,0.316,2.1,11.5,6.7,14.6,2.1,2.8,13.9,13.3,-0.1,0.2,0.2,0.05,-4.7,1.3,-3.4,-0.1
Admiral Schofield,PF,26,ORL,30,17,13,0,3.8,0.5,1.2,0.375,0.2,0.8,0.3,0.2,0.5,0.5,0.469,0,0.2,0,0.1,0.5,0.6,0.4,0,0,0.3,0.5,1.2,49,2.4,0.444,0.625,0.125,2.3,16.7,9.5,14.2,0,0,19.2,18.4,-0.1,0,-0.1,-0.066,-6.4,-1.7,-8.1,-0.1
Jalen Suggs,SG,22,ORL,30,17,50,50,26.9,4.4,9.8,0.445,2.1,5.4,0.384,2.3,4.5,0.518,0.55,1.5,2,0.76,0.7,2.6,3.3,2.4,1.4,0.6,1.9,2.8,12.3,1344,12.6,0.576,0.545,0.203,3.2,11.2,7.1,13.3,2.6,2,14.9,20.2,0.2,2.1,2.2,0.079,-1.5,1.3,-0.3,0.6
Franz Wagner,SF,22,ORL,30,17,47,47,33.3,7.8,16.3,0.477,1.6,5.1,0.318,6.1,11.2,0.549,0.527,3.9,4.5,0.858,1.1,4.5,5.6,4.1,1.1,0.4,2,2.3,21.1,1564,18.1,0.575,0.315,0.276,3.8,15.9,9.8,20.1,1.6,1,9.7,26.3,2.2,2.1,4.3,0.131,1.8,0.2,2,1.6
Moritz Wagner,C,26,ORL,30,17,53,1,18.4,4.2,7.2,0.588,0.5,1.5,0.325,3.7,5.7,0.658,0.622,2.2,2.8,0.795,1.5,2.9,4.4,1.2,0.5,0.3,1.2,2.2,11.1,974,19.7,0.663,0.21,0.383,9.5,18.4,13.9,10.7,1.3,1.6,12.6,22.6,2.2,1.3,3.5,0.174,1.3,0.2,1.5,0.9
Mo Bamba,C,25,PHI,32,12,32,0,10.6,1.6,3.2,0.5,0.4,0.8,0.444,1.2,2.3,0.52,0.559,0.5,0.9,0.586,1.4,2.3,3.7,0.6,0.4,0.9,0.7,1.5,4.1,338,16.9,0.571,0.265,0.284,14.6,24.3,19.4,7.7,1.7,7.9,16.7,17.3,0.2,0.6,0.9,0.124,-2,0.8,-1.3,0.1
Nicolas Batum,PF,35,PHI,32,12,31,27,25.5,2.2,4.1,0.528,1.4,2.9,0.467,0.8,1.2,0.676,0.693,0.3,0.5,0.643,1.4,2.6,4,2.4,0.6,0.7,0.6,2,6,792,11.6,0.695,0.709,0.11,5.8,11.5,8.6,11.6,1.2,2.4,13.1,8.2,1.4,0.7,2.1,0.128,0.1,0.5,0.6,0.5
Ricky Council IV,SG,22,PHI,32,12,14,0,9.9,2.1,4.2,0.492,0.3,1,0.286,1.8,3.2,0.556,0.525,2.4,3,0.786,0.7,1.4,2.1,0.3,0.1,0,0.1,0.6,6.8,138,20.8,0.613,0.237,0.712,8,15.3,11.6,4.3,0.7,0,2.5,24.5,0.5,0.1,0.6,0.196,2.8,-2,0.8,0.1
Robert Covington,SF,33,PHI,32,12,26,3,16.1,1.5,3.4,0.449,0.7,1.8,0.354,0.9,1.6,0.561,0.545,0.8,0.9,0.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,419,13.9,0.593,0.539,0.27,7.6,15.9,11.7,5.2,3.8,3.4,9.9,11.2,0.5,0.7,1.3,0.144,-0.8,2.9,2.1,0.4
Joel Embiid,C,29,PHI,32,12,34,34,34,11.8,22.2,0.533,1.2,3.3,0.366,10.6,18.9,0.562,0.56,10.5,11.9,0.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3,1157,34.3,0.645,0.149,0.534,8.5,28.3,18.3,31.2,1.6,4.6,11.9,38.9,4.8,2,6.8,0.281,8.8,3,11.8,4.1
Danny Green,SG,36,PHI,32,12,2,0,9,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,1,1,0.5,0.5,0,0,0.5,0,18,0.7,0,0.5,0,0,12.3,6.1,6.3,2.7,0,0,4.7,0,0,0,-0.036,-7.4,0.7,-6.7,0
Tobias Harris,PF,31,PHI,32,12,48,48,34,6.8,13.3,0.507,1.2,3.4,0.346,5.6,9.9,0.562,0.551,3.1,3.4,0.896,1.1,5,6,3.4,1,0.5,1.5,1.7,17.7,1630,16.9,0.598,0.254,0.257,3.4,16.2,9.8,14.4,1.4,1.4,9,20.4,2.7,1.7,4.4,0.129,1.3,-0.4,1,1.2
Buddy Hield,SG,31,PHI,32,12,4,4,39,8.5,16.3,0.523,4.5,10,0.45,4,6.3,0.64,0.662,0.8,1,0.75,0.5,3.5,4,7.5,1.8,0,3,4,22.3,156,18,0.667,0.615,0.062,1.4,10,5.7,28.9,2.2,0,15.2,21.5,0.3,0.1,0.5,0.15,3.3,0.4,3.7,0.2
Danuel House Jr.,SF,30,PHI,32,12,34,4,15,1.4,3.1,0.448,0.4,1.5,0.3,0.9,1.6,0.582,0.519,1,1.4,0.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,509,8.4,0.575,0.476,0.438,3.5,9.2,6.3,7,1.4,0.9,13.2,12.1,0.3,0.4,0.7,0.063,-3.4,-0.6,-4,-0.3
Furkan Korkmaz,SG,26,PHI,32,12,35,0,8.6,0.9,2.2,0.395,0.4,1.1,0.35,0.5,1,0.444,0.487,0.4,0.6,0.7,0.1,0.7,0.9,0.7,0.4,0.1,0.3,0.5,2.5,300,9.1,0.519,0.526,0.263,1.5,9.6,5.5,10.7,2.3,0.9,10.5,13.5,0,0.3,0.3,0.054,-3.1,0.4,-2.7,-0.1
Kenneth Lofton Jr.,PF,21,PHI,32,12,2,0,4.5,0.5,3,0.167,0,1,0,0.5,2,0.25,0.167,0,0,,0,1.5,1.5,0,0,0,1,0,1,9,-19.6,0.167,0.333,0,0,37,18.4,0,0,0,25,37.8,-0.1,0,-0.1,-0.694,-23.3,-9.3,-32.6,-0.1
KJ Martin,SF,23,PHI,32,12,38,2,10.9,1.4,2.6,0.561,0.1,0.4,0.267,1.3,2.2,0.614,0.582,0.3,0.7,0.5,0.4,1.2,1.6,0.7,0.3,0.1,0.5,1.4,3.3,415,8.9,0.58,0.153,0.265,3.7,12.6,8.1,8.7,1.5,0.6,14.8,13.2,0.1,0.4,0.5,0.056,-4.5,-0.4,-4.9,-0.3
Tyrese Maxey,PG,23,PHI,32,12,49,49,37.2,8.9,19.9,0.449,3,8,0.378,5.9,11.9,0.497,0.526,4.8,5.6,0.854,0.6,3.1,3.7,6.4,1,0.5,1.7,2.2,25.7,1824,19.7,0.575,0.404,0.281,1.6,9.2,5.4,26.9,1.3,1.2,7,27.5,4.2,1.4,5.6,0.148,4.1,-1.2,2.8,2.2
De'Anthony Melton,SG,25,PHI,32,12,33,33,29.1,3.9,9.9,0.393,2.1,5.8,0.363,1.8,4.1,0.437,0.5,1.9,2.3,0.827,0.8,3.2,4,3.2,1.6,0.5,1.2,2.4,11.8,959,13.1,0.54,0.588,0.229,3.1,12.1,7.6,14.6,2.7,1.4,9.5,17.7,0.7,1.2,1.9,0.095,-0.7,1,0.3,0.6
Marcus Morris,PF,34,PHI,32,12,37,7,17.2,2.4,5.5,0.439,1,2.4,0.4,1.5,3.1,0.47,0.527,0.8,1,0.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,637,10.4,0.559,0.439,0.176,3.1,15.8,9.4,5.5,1,1.5,7.9,16,0.3,0.6,0.9,0.07,-2.2,-1.2,-3.4,-0.2
Kelly Oubre Jr.,SF,28,PHI,32,12,42,31,29,5.2,11.4,0.461,1.5,4.5,0.319,3.8,6.8,0.556,0.525,2.1,2.9,0.736,1.2,3.3,4.5,1.1,1.1,0.6,0.8,2.9,14,1218,13.5,0.556,0.4,0.254,4.5,12.5,8.5,5.4,1.9,1.8,6.2,19.8,1,1.3,2.3,0.089,-1.3,-0.7,-2,0
Cameron Payne,PG,29,PHI,32,12,4,1,25.8,3.8,10.3,0.366,1.3,5,0.25,2.5,5.3,0.476,0.427,2,2.3,0.889,1,1.3,2.3,4.8,0.5,0.3,0.8,1.3,10.8,103,12.6,0.478,0.488,0.22,4.3,5.4,4.8,25,0.9,0.9,6.3,19.8,0.1,0.1,0.2,0.072,-0.4,-1.7,-2.1,0
Paul Reed,C,24,PHI,32,12,54,18,17.7,2.9,5.3,0.545,0.2,0.6,0.333,2.7,4.7,0.573,0.565,0.6,0.8,0.733,2.1,3.3,5.4,1.2,0.7,0.8,0.7,2.3,6.6,954,16.9,0.582,0.115,0.157,13.4,20.5,16.9,9.6,2,4,10.8,15.3,1.6,1.4,3,0.152,-0.6,0.5,-0.1,0.5
Javonte Smart,PG,24,PHI,32,12,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,,0,0,0,0,0.003,-6.1,-2.2,-8.4,0
Terquavion Smith,PG,21,PHI,32,12,11,0,6.2,1.5,3.6,0.4,1.1,2.8,0.387,0.4,0.8,0.444,0.55,0.2,0.3,0.667,0,0.2,0.2,0.9,0.6,0,0.4,0.4,4.2,68,18.3,0.557,0.775,0.075,0,3.3,1.6,22.7,5,0,8.8,28.4,0,0.1,0.1,0.103,3.6,1,4.6,0.1
Jaden Springer,SG,21,PHI,32,12,32,1,11.8,1.4,3.7,0.39,0.3,1.2,0.216,1.2,2.5,0.469,0.424,0.9,1.1,0.824,0.8,1,1.8,1.1,0.8,0.3,0.8,1.5,4,377,10.5,0.481,0.314,0.288,7.3,9.7,8.5,12.2,3.2,2.6,16.4,17.9,-0.2,0.5,0.3,0.035,-4.4,1,-3.4,-0.1
Grayson Allen,SG,28,PHO,33,10,49,49,32.9,4.3,8.4,0.51,2.5,5.2,0.482,1.8,3.2,0.553,0.658,1.7,1.9,0.892,0.6,3.3,3.9,3.2,0.8,0.6,1.3,2.2,12.8,1612,13.5,0.69,0.616,0.225,2.3,10.8,6.8,12.9,1.2,1.7,12.7,14,3,1.4,4.3,0.129,0.9,-0.1,0.8,1.1
Udoka Azubuike,C,24,PHO,33,10,14,0,7.6,1.1,1.6,0.727,0,0,,1.1,1.6,0.727,0.727,0.2,0.8,0.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5,107,13.6,0.652,0,0.5,12.5,21.1,17.1,3.8,0.5,4.9,13,12.5,0.1,0.1,0.3,0.122,-2.5,0.1,-2.4,0
Bradley Beal,SG,30,PHO,33,10,30,30,32.6,7.1,14.4,0.495,1.6,4.5,0.363,5.5,9.9,0.556,0.552,2.3,3,0.775,0.8,3.4,4.3,4.5,0.9,0.3,2.4,2.6,18.2,979,14.8,0.579,0.313,0.206,3.1,11.3,7.5,20.7,1.3,0.7,13.4,24.1,0.7,0.8,1.5,0.074,-0.9,-1.4,-2.3,-0.1
Bol Bol,PF,24,PHO,33,10,18,0,8.8,1.7,2.6,0.674,0.2,0.7,0.333,1.5,1.9,0.794,0.717,0.3,0.3,0.833,0.7,2,2.7,0.5,0.2,0.6,0.5,0.9,3.9,158,19.3,0.73,0.261,0.13,9.3,24.5,17.4,8.3,1.2,6.1,15.6,15.8,0.3,0.3,0.6,0.173,0.5,1.5,2,0.2
Devin Booker,PG,27,PHO,33,10,45,45,35.5,9.6,19.2,0.5,2.2,5.8,0.379,7.4,13.4,0.552,0.557,6.1,7,0.87,0.7,3.9,4.6,7,0.9,0.4,2.6,3,27.5,1597,22.7,0.617,0.302,0.365,2.4,11.9,7.4,32.2,1.3,1,10.3,30.3,4.9,1.4,6.2,0.187,4.2,-1,3.2,2.1
Kevin Durant,PF,35,PHO,33,10,48,48,37,10.2,19,0.538,2.3,5.1,0.443,8,13.9,0.573,0.598,5.5,6.3,0.871,0.5,6.1,6.6,5.7,0.9,1.3,3.2,1.8,28.2,1775,23.3,0.647,0.268,0.331,1.8,17.7,10.2,25.2,1.2,3.1,12.9,29.3,4.4,2.1,6.4,0.174,5.4,0.3,5.7,3.5
Drew Eubanks,C,26,PHO,33,10,49,3,16,2.3,3.7,0.626,0.1,0.1,1,2.2,3.6,0.619,0.634,1,1.4,0.735,1.3,2.9,4.3,0.9,0.4,0.8,1,1.6,5.7,785,14.8,0.663,0.017,0.38,10.1,19.7,15.2,7.9,1.2,4.5,18.4,14.1,1,1,2.1,0.126,-1.9,0.6,-1.3,0.1
Eric Gordon,SG,35,PHO,33,10,47,22,29.7,4.6,10,0.46,2.5,6.4,0.388,2.1,3.6,0.585,0.583,0.9,1.1,0.824,0.3,1.8,2.1,2.3,0.9,0.5,1.3,1.3,12.6,1394,11.6,0.599,0.636,0.109,1.2,6.6,4.1,10.4,1.5,1.5,10.9,17.2,0.9,1.1,2,0.069,-0.7,-0.8,-1.5,0.2
Saben Lee,PG,24,PHO,33,10,13,0,7.7,1,2.4,0.419,0,0.6,0,1,1.8,0.565,0.419,1.6,2.2,0.724,0.4,1,1.4,1.1,0.5,0.2,0.5,0.5,3.6,100,16.9,0.537,0.258,0.935,6.1,14,10.3,18.6,3.4,2.6,13.8,22,0.1,0.2,0.2,0.114,-1.5,1.6,0.1,0.1
Nassir Little,SF,23,PHO,33,10,32,2,13.1,1.5,3.3,0.457,0.6,1.8,0.305,0.9,1.4,0.652,0.543,0.5,0.6,0.85,0.4,1.8,2.2,0.6,0.3,0.3,0.4,1.1,4.1,419,9.8,0.576,0.562,0.19,4.1,14.4,9.6,5.9,1.2,2.1,10.3,13.1,0.2,0.4,0.7,0.076,-2.5,-0.4,-2.9,-0.1
Théo Maledon,PG,22,PHO,33,10,2,0,5.5,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,1.5,1.5,1,0,0.5,0.5,0,0,0,1.5,1.5,2.5,11,-6,0.579,0,1,0,9.8,5.2,0,0,0,41,28.8,-0.1,0,-0.1,-0.262,-17.8,-5.8,-23.6,-0.1
Chimezie Metu,C,26,PHO,33,10,37,5,12.1,1.8,3.5,0.508,0.4,1.4,0.294,1.4,2.1,0.646,0.565,1,1.2,0.884,0.6,2.3,3,0.5,0.5,0.2,0.7,1.1,5,447,13.8,0.621,0.392,0.331,6.6,20.7,14.1,5.8,2.1,1.8,15.3,17,0.3,0.6,1,0.104,-1.6,0.3,-1.4,0.1
